Name;Measure;Geo Type Name;Geo Place Name;Time Period
Nitrogen dioxide (NO2);Mean;UHF34;Williamsburg - Bushwick;Summer 2014
Nitrogen dioxide (NO2);Mean;UHF34;Northern SI;Annual Average 2015
Nitrogen dioxide (NO2);Mean;UHF34;Northern SI;Winter 2018-19
Nitrogen dioxide (NO2);Mean;UHF34;Northern SI;Annual Average 2020
Nitrogen dioxide (NO2);Mean;UHF42;Greenpoint;Annual Average 2017
Nitrogen dioxide (NO2);Mean;UHF42;Greenpoint;Annual Average 2021
Nitrogen dioxide (NO2);Mean;UHF42;Kingsbridge - Riverdale;Winter 2010-11
Nitrogen dioxide (NO2);Mean;UHF42;Port Richmond;Winter 2010-11
Nitrogen dioxide (NO2);Mean;UHF42;Port Richmond;Winter 2014-15
Nitrogen dioxide (NO2);Mean;UHF42;Port Richmond;Annual Average 2017
Nitrogen dioxide (NO2);Mean;CD;Upper East Side (CD8);Winter 2014-15
Nitrogen dioxide (NO2);Mean;CD;Upper East Side (CD8);Annual Average 2021
Nitrogen dioxide (NO2);Mean;CD;Central Harlem (CD10);Winter 2014-15
Nitrogen dioxide (NO2);Mean;CD;Washington Heights and Inwood (CD12);Annual Average 2017
Nitrogen dioxide (NO2);Mean;CD;Bay Ridge and Dyker Heights (CD10);Winter 2010-11
Nitrogen dioxide (NO2);Mean;CD;Bay Ridge and Dyker Heights (CD10);Summer 2009
Nitrogen dioxide (NO2);Mean;CD;Bay Ridge and Dyker Heights (CD10);Annual Average 2013
Nitrogen dioxide (NO2);Mean;CD;Bay Ridge and Dyker Heights (CD10);Winter 2014-15
Nitrogen dioxide (NO2);Mean;CD;Bay Ridge and Dyker Heights (CD10);Annual Average 2021
Nitrogen dioxide (NO2);Mean;CD;Borough Park (CD12);Annual Average 2017
Nitrogen dioxide (NO2);Mean;CD;Borough Park (CD12);Annual Average 2021
Nitrogen dioxide (NO2);Mean;UHF34;Bensonhurst - Bay Ridge;Winter 2016-17
Nitrogen dioxide (NO2);Mean;UHF34;Bensonhurst - Bay Ridge;Summer 2018
Nitrogen dioxide (NO2);Mean;UHF34;Bensonhurst - Bay Ridge;Summer 2020
Nitrogen dioxide (NO2);Mean;UHF34;Williamsburg - Bushwick;Winter 2009-10
Nitrogen dioxide (NO2);Mean;UHF34;Williamsburg - Bushwick;Annual Average 2014
Nitrogen dioxide (NO2);Mean;UHF34;Williamsburg - Bushwick;Summer 2018
